,metricType,symbol,metric.currentDividendYieldTTM,metric.dividendYield5Y,metric.dividendYieldIndicatedAnnual,metric.netDebtAnnual,metric.netDebtInterim,metric.pbAnnual,metric.pbQuarterly,metric.pcfShareTTM,metric.peBasicExclExtraTTM,metric.peExclExtraAnnual,metric.peExclExtraHighTTM,metric.peExclExtraTTM,metric.peExclLowTTM,metric.peInclExtraTTM,metric.peNormalizedAnnual,metric.pfcfShareAnnual,metric.pfcfShareTTM,metric.psAnnual,metric.psTTM,metric.ptbvAnnual,metric.ptbvQuarterly
0,valuation,AAPL,1.25927,1.4865,1.27584,7490,1771,11.85397,11.82354,15.19943,22.72064,20.31081,22.88814,19.06634,10.90846,19.06634,20.31081,23.58989,21.17652,4.05992,3.94603,11.6732,11.79798
1,valuation,BAC,3.29506,1.5899,3.59461,265997,265997,0.73315,0.73315,6.30278,12.72367,7.27522,21.5504,7.27631,9.44032,7.27631,6.67235,3.12944,3.12944,1.91527,1.91527,0.90007,0.90007
2,valuation,AMZN,0,,,-13205,-13205,15.29942,15.29942,28.42444,78.70882,82.92384,742.5583,82.83133,75.2765,82.83133,82.92384,43.83321,43.83321,3.38341,3.38342,21.94143,20.06343
3,valuation,T,7.42899,5.34235,7.57465,151017,151017,1.08136,1.08136,4.56059,20.5786,14.49436,34.26084,14.49566,10.29827,14.49566,12.31026,13.73074,13.73074,1.08706,1.08706,,
4,valuation,GOOGL,0,,,-115121,-115121,3.7338,3.7338,16.36656,26.99908,22.22614,34.08456,22.21753,21.85935,22.21753,21.31336,24.30466,24.30466,4.6508,4.6508,4.20917,4.20917
5,valuation,MO,8.66079,4.39064,8.98156,25925,25925,11.17118,11.17118,,,,44.1971,,7.93118,,12.56748,45.67776,45.67776,2.76868,2.76868,,
6,valuation,DAL,6.69484,1.87505,,8278,8278,0.94085,0.94085,1.9588,7.96485,3.07939,31.97815,3.07116,5.92867,3.07116,3.07939,5.73508,5.73508,0.30611,0.30611,34.75679,34.75679
7,valuation,AA,0,,,921,921,0.2744,0.2744,,,,,,,,,3.68197,3.68197,0.10835,0.10835,0.2891,0.27489
8,valuation,AXP,2.17391,1.4349,2.33696,113770,113770,2.58402,2.58402,7.53944,15.54248,9.21248,17.37717,9.2111,10.69703,9.2111,9.21248,5.61337,5.61337,1.31454,1.31454,3.04301,2.57055
9,valuation,DD,6.77753,,3.7653,15907,15907,0.57428,0.57428,9.36578,,,,,,47.79472,23.13444,,,1.0954,1.0954,,
10,valuation,BABA,0,,,-9711.88,-33116.57,6.97279,4.7833,17.486,22.38382,39.72705,55.36052,20.41533,15.4879,20.41533,38.68744,30.81856,17.81098,9.4451,7.28035,21.45919,8.67845
11,valuation,ABT,1.61108,1.82255,1.81246,13453,13999,4.50434,4.50434,21.17986,42.65622,39.29472,74.63764,39.30347,23.90121,38.38442,37.44851,62.88365,62.88365,4.39145,4.39145,,
